13/100 - 200/569 |  Loss train-val = 1.3387 - 2.1651 | Acc train - val = 0.3906 - 0.3390
13/100 - 400/569 |  Loss train-val = 1.9713 - 2.1694 | Acc train - val = 0.4006 - 0.3380
14/100 - 0/569 |  Loss train-val = 2.5552 - 2.2087 | Acc train - val = 0.3111 - 0.3258
14/100 - 200/569 |  Loss train-val = 2.5831 - 2.0375 | Acc train - val = 0.3179 - 0.3492
14/100 - 400/569 |  Loss train-val = 1.5434 - 2.1937 | Acc train - val = 0.4115 - 0.3376
15/100 - 0/569 |  Loss train-val = 1.9265 - 2.0595 | Acc train - val = 0.3281 - 0.3472
15/100 - 200/569 |  Loss train-val = 2.1204 - 2.2707 | Acc train - val = 0.3229 - 0.3247
15/100 - 400/569 |  Loss train-val = 1.6743 - 2.2979 | Acc train - val = 0.4321 - 0.3246
16/100 - 0/569 |  Loss train-val = 1.7703 - 2.0692 | Acc train - val = 0.3154 - 0.3479
16/100 - 200/569 |  Loss train-val = 2.8831 - 2.1832 | Acc train - val = 0.2355 - 0.3302
16/100 - 400/569 |  Loss train-val = 1.2771 - 2.1773 | Acc train - val = 0.4029 - 0.3327
0/100 - 0/569 |  Loss train-val = 3.1056 - 2.0877 | Acc train - val = 0.2777 - 0.3411
0/100 - 200/569 |  Loss train-val = 1.7673 - 2.1947 | Acc train - val = 0.3893 - 0.3354
0/100 - 400/569 |  Loss train-val = 1.9425 - 2.1948 | Acc train - val = 0.3394 - 0.3307
1/100 - 0/569 |  Loss train-val = 1.6334 - 2.1848 | Acc train - val = 0.3816 - 0.3340
1/100 - 200/569 |  Loss train-val = 2.0642 - 2.0389 | Acc train - val = 0.4034 - 0.3496
1/100 - 400/569 |  Loss train-val = 2.4135 - 2.1642 | Acc train - val = 0.3402 - 0.3411
2/100 - 0/569 |  Loss train-val = 2.2703 - 2.1389 | Acc train - val = 0.2646 - 0.3440
2/100 - 200/569 |  Loss train-val = 2.0277 - 2.2013 | Acc train - val = 0.3186 - 0.3321
2/100 - 400/569 |  Loss train-val = 1.7469 - 2.2678 | Acc train - val = 0.3789 - 0.3308
3/100 - 0/569 |  Loss train-val = 2.5218 - 2.1451 | Acc train - val = 0.2921 - 0.3381
3/100 - 200/569 |  Loss train-val = 1.5110 - 2.3051 | Acc train - val = 0.4056 - 0.3216
3/100 - 400/569 |  Loss train-val = 2.1439 - 2.0911 | Acc train - val = 0.3470 - 0.3431
4/100 - 0/569 |  Loss train-val = 2.7512 - 2.1139 | Acc train - val = 0.2669 - 0.3420
4/100 - 200/569 |  Loss train-val = 2.6331 - 2.2899 | Acc train - val = 0.2268 - 0.3207
4/100 - 400/569 |  Loss train-val = 2.0498 - 2.2387 | Acc train - val = 0.3757 - 0.3268
5/100 - 0/569 |  Loss train-val = 2.0884 - 2.2020 | Acc train - val = 0.3552 - 0.3334
5/100 - 200/569 |  Loss train-val = 0.9909 - 2.1786 | Acc train - val = 0.5192 - 0.3341
